filename,angle
2001.png,109
2002.png,138
2003.png,124
2004.png,138
2005.png,77
2008.png,153
2009.png,141
2010.png,135
2011.png,148
2014.png,143
2016.png,132
2019.png,124
2020.png,87
2021.png,103
2022.png,110
2023.png,128
2024.png,85
2025.png,101
2026.png,115
2027.png,118
2028.png,122
2029.png,71
2030.png,88
2031.png,105
2032.png,116
2033.png,127
2034.png,58
2035.png,68
2036.png,96
2037.png,112
2038.png,130
2039.png,133
2040.png,117
2041.png,129
2044.png,61
2045.png,88
2046.png,123
2048.png,142
2049.png,136
2050.png,124
2051.png,133
2052.png,135
2053.png,20
2054.png,162
2055.png,161
2058.png,141
2059.png,179
2060.png,178
2061.png,127
2062.png,138
2063.png,161
2064.png,156
2065.png,139
2066.png,104
2067.png,50
2068.png,130
2070.png,144
2071.png,138
2072.png,128
2073.png,100
2074.png,81
2075.png,139
2076.png,118
2077.png,105
2078.png,132
2079.png,127
2080.png,141
2082.png,133
2085.png,28
2086.png,50
2087.png,81
2088.png,94
2089.png,125
2091.png,110
2093.png,112
2096.png,87
2097.png,114
2098.png,140
2099.png,79
2100.png,105
2101.png,116
2102.png,144
2103.png,69
2104.png,118
2105.png,141
2108.png,166
2109.png,153
2110.png,127
2111.png,44
2112.png,11
2113.png,121
2114.png,111
2115.png,67
2116.png,41
2117.png,128
2119.png,137
2120.png,150
2121.png,143
2128.png,135
2129.png,147
2132.png,140
2134.png,141
2136.png,110
2138.png,133
2139.png,59
2140.png,66
2141.png,48
2142.png,54
2143.png,67
2144.png,100
2145.png,42
2146.png,57
2147.png,69
2148.png,84
2149.png,100
2150.png,116
2151.png,140
2152.png,142
2153.png,56
2154.png,70
2155.png,90
2156.png,106
2157.png,129
2158.png,128
2159.png,141
2160.png,143
2162.png,43
2163.png,65
2164.png,89
2165.png,113
2166.png,126
2167.png,144
2168.png,153
2169.png,20
2170.png,35
2171.png,40
2172.png,130
2173.png,157
2174.png,153
2175.png,9
2176.png,13
2177.png,179
2179.png,179
2180.png,0
2181.png,155
2182.png,144
2183.png,89
2184.png,36
2185.png,21
2186.png,17
2187.png,15
2188.png,144
2189.png,123
2190.png,95
2191.png,55
2192.png,40
2193.png,36
2194.png,26
2195.png,21
2196.png,21
2197.png,130
2198.png,135
2199.png,120
2200.png,103
2201.png,66
2202.png,47
2204.png,143
2205.png,136
2206.png,129
2207.png,92
2208.png,94
2209.png,73
2210.png,56
2211.png,121
2212.png,110
2213.png,93
2214.png,92
2215.png,74
2216.png,80
2217.png,93
2218.png,111
2219.png,117
2220.png,42
2221.png,38
2222.png,71
2223.png,79
2224.png,86
2225.png,111
2226.png,132
2227.png,143
2228.png,138
2229.png,33
2230.png,46
2231.png,48
2232.png,69
2233.png,79
2234.png,91
2235.png,119
2236.png,135
2237.png,143
2238.png,149
2239.png,20
2241.png,22
2243.png,109
2245.png,144
2246.png,147
2247.png,18
2248.png,15
2249.png,162
2250.png,159
2252.png,8
2255.png,163
2256.png,172
2257.png,156
2258.png,155
2259.png,149
2260.png,96
2261.png,48
2262.png,11
2263.png,15
2264.png,16
2265.png,10
2266.png,156
2267.png,145
2268.png,143
2269.png,91
2270.png,57
2271.png,41
2272.png,35
2273.png,24
2274.png,21
2275.png,14
2276.png,144
2277.png,111
2278.png,97
2279.png,72
2280.png,57
2281.png,48
2282.png,32
2284.png,104
2285.png,89
2286.png,80
2287.png,66
2288.png,49
2289.png,40
2290.png,34
2291.png,119
2292.png,108
2293.png,54
2294.png,114
2295.png,123
2297.png,117
2298.png,133
2299.png,113
2300.png,127
2301.png,136
2302.png,97
2303.png,140
2304.png,104
2305.png,131
2306.png,18
2307.png,36
2308.png,127
2309.png,129
2310.png,46
2311.png,32
2312.png,129
2313.png,104
2314.png,67
2315.png,58
2316.png,118
2317.png,107
2318.png,81
2319.png,122
2320.png,115
2321.png,68
2322.png,54
2323.png,104
2325.png,8
2327.png,134
2328.png,116
2329.png,86
2330.png,105
2331.png,83
2332.png,117
2333.png,109
2334.png,86
2335.png,104
2336.png,125
2337.png,130
2338.png,130
2339.png,120
2340.png,132
2341.png,137
2342.png,124
2343.png,142
2345.png,118
2346.png,136
2348.png,112
2349.png,136
2351.png,124
2352.png,126
2354.png,141
2355.png,130
2356.png,139
2357.png,139
2358.png,134
2359.png,139
2360.png,139
2361.png,139
2364.png,105
2366.png,52
2368.png,120
2369.png,45
2372.png,167
2373.png,165
2376.png,132
2379.png,109
2380.png,78
2381.png,57
2382.png,114
2383.png,124
2384.png,123
2385.png,119
2386.png,131
2389.png,134
2390.png,142
2392.png,123
2393.png,120
2394.png,113
2395.png,109
2396.png,133
2397.png,131
2398.png,130
2399.png,100
2400.png,98
2401.png,130
2402.png,122
2403.png,135
2404.png,139
2405.png,70
2410.png,124
2412.png,132
2413.png,51
2414.png,71
2415.png,62
2417.png,105
2418.png,123
2419.png,131
2420.png,142
2421.png,151
2422.png,52
2423.png,90
2425.png,129
2426.png,140
2427.png,143
2428.png,140
2429.png,146
2430.png,155
2431.png,43
2432.png,71
2434.png,130
2435.png,148
2436.png,133
2437.png,149
2438.png,148
2439.png,159
2440.png,116
2441.png,140
2442.png,149
2443.png,157
2444.png,160
2445.png,166
2446.png,154
2448.png,163
2449.png,47
2450.png,19
2451.png,42
2452.png,5
2453.png,2
2454.png,178
2455.png,149
2458.png,57
2459.png,42
2460.png,32
2461.png,26
2462.png,15
2463.png,12
2464.png,106
2465.png,72
2466.png,48
2467.png,51
2468.png,22
2469.png,7
2470.png,115
2471.png,63
2472.png,49
2473.png,48
2474.png,33
2475.png,22
2476.png,52
2477.png,57
2478.png,48
2479.png,110
2480.png,125
2481.png,118
2482.png,79
2485.png,124
2487.png,126
2488.png,68
2491.png,121
2492.png,134
2493.png,133
2494.png,153
2495.png,144
2496.png,50
2497.png,56
2498.png,80
2499.png,124
2500.png,132
2501.png,151
2502.png,149
2503.png,145
2504.png,44
2505.png,45
2506.png,58
2507.png,82
2508.png,122
2509.png,165
2510.png,162
2511.png,46
2512.png,44
2513.png,70
2514.png,83
2515.png,129
2516.png,156
2517.png,163
2518.png,166
2519.png,166
2520.png,42
2521.png,46
2522.png,86
2523.png,168
2524.png,167
2525.png,163
2526.png,154
2527.png,163
2531.png,157
2533.png,162
2534.png,148
2535.png,138
2536.png,25
2537.png,23
2538.png,11
2539.png,19
2540.png,10
2541.png,156
2542.png,141
2543.png,136
2544.png,93
2545.png,53
2546.png,46
2548.png,144
2549.png,133
2550.png,124
2551.png,100
2552.png,61
2553.png,50
2554.png,142
2555.png,150
2556.png,139
2557.png,141
2558.png,110
2560.png,49
2561.png,156
2562.png,147
2563.png,140
2565.png,93
2567.png,141
2568.png,138
2569.png,110
2571.png,84
2572.png,143
2573.png,108
2574.png,112
2575.png,138
2576.png,131
2577.png,140
2578.png,145
2579.png,143
2580.png,122
2631.png,21
2636.png,17
2637.png,13
2646.png,8
2647.png,5
2649.png,26
2660.png,5
2664.png,4
2665.png,3
2666.png,4
2667.png,6
2669.png,173
2670.png,175
2672.png,173
2673.png,169
2675.png,162
2679.png,172
2682.png,165
2683.png,162
2691.png,172
2692.png,172
2693.png,164
2699.png,141
2704.png,164
2705.png,163
2706.png,165
2707.png,167
2710.png,165
2712.png,169
2713.png,168
2714.png,166
2715.png,167
2729.png,8
2736.png,15
2737.png,15
2738.png,19
2739.png,19
2740.png,20
2741.png,17
2742.png,25
2743.png,20
2744.png,18
2745.png,21
2746.png,12
2747.png,14
2748.png,14
2750.png,26
2751.png,19
2752.png,17
2753.png,16
2754.png,15
2755.png,8
2756.png,13
2757.png,17
2760.png,160
2761.png,168
2762.png,159
2768.png,1
2769.png,170
2792.png,165
2793.png,162
2794.png,163
2802.png,160
2806.png,171
2810.png,176
2812.png,168
2814.png,0
2815.png,6
2816.png,7
2817.png,6
2819.png,3
2820.png,171
2823.png,0
2824.png,11
2825.png,8
2826.png,8
2827.png,177
2828.png,177
2829.png,2
2831.png,6
2832.png,16
2833.png,15
2834.png,11
2835.png,8
2836.png,10
2837.png,7
2838.png,11
2839.png,10
2840.png,12
2841.png,10
2843.png,13
2846.png,11
2847.png,9
2848.png,7
2849.png,10
2850.png,11
2852.png,8
2854.png,10
2855.png,8
2856.png,5
2857.png,4
2858.png,7
2859.png,7
2860.png,7
2861.png,6
2862.png,6
2863.png,8
2864.png,1
2866.png,2
2867.png,3
2868.png,6
2869.png,2
2872.png,4
2873.png,5
2874.png,1
2875.png,4
2876.png,3
2877.png,179
