model_name,training_data,approach,n_train,train_mae,val_mae,test_mae
combined_raw,combined,raw,917,16.055174744896178,17.91143284673276,19.342490309256096
bio_raw,bio,raw,430,21.80871535234673,17.46894959167198,22.805153733712654
combined_augmented,combined,augmented,917,17.14402094740124,17.749136962061343,26.950882282963505
diff_raw,diff,raw,487,22.35376515084958,23.968615797699474,27.056715272974085
combined_balanced,combined,balanced,316,22.556369123579582,27.005078864097595,30.802638795640732
bio_augmented,bio,augmented,430,24.966305994433025,21.001837642104537,30.938365130954317
diff_balanced,diff,balanced,237,25.16191969440959,24.20867977142334,32.32350565592448
diff_augmented,diff,augmented,487,21.064314511277594,18.616112271293265,32.949843872918024
combined_augmented_balanced,combined,augmented_balanced,316,26.634547951855236,21.01341781616211,34.932287527013706
diff_augmented_balanced,diff,augmented_balanced,237,30.403734995846005,27.742866643269856,36.77975765510842
bio_balanced,bio,balanced,79,39.336954816987244,45.42475128173828,45.45044928656684
bio_augmented_balanced,bio,augmented_balanced,79,45.463761534871935,49.981005096435545,49.51447940402561
