model_name,training_data,approach,n_train,train_mae,val_mae,test_mae
bio_augmented,bio,augmented,3012,8.339145328250012,12.12710956226449,15.382493654604868
bio_raw,bio,raw,430,7.709298186949876,10.485408701164632,15.407364459107436
combined_augmented,combined,augmented,3500,8.404454046078651,12.536567562302608,15.44451331104106
combined_raw,combined,raw,917,7.349943299026985,12.135150553268202,15.614225369542792
bio_augmented_balanced,bio,augmented_balanced,619,8.458548251824865,12.702052614015312,17.146072454731467
combined_augmented_balanced,combined,augmented_balanced,3132,7.556272794947555,10.758321562351197,17.165574385032475
bio_balanced,bio,balanced,72,4.387638889892465,10.161675799197761,17.60062076443836
diff_augmented,diff,augmented,2512,6.6807520306749275,9.791317331175097,17.905155162864173
diff_augmented_balanced,diff,augmented_balanced,2512,6.6807520306749275,9.791317331175097,17.905155162864173
diff_raw,diff,raw,487,5.523411403278333,12.683949648321073,19.00747979941439
diff_balanced,diff,balanced,244,6.023767365736882,10.441785461333504,19.896871865199838
combined_balanced,combined,balanced,316,5.540142306671138,12.608635184452124,20.276495891055607
